zone,crop,planting_month,planting_month_name,harvest_month,harvest_month_name,rainfall_reliability_score,phase,activity,start_week_offset,end_week_offset,approx_start_month,approx_end_month,approx_start_month_num,activity_notes
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Land clearing and primary tillage,-4,-3,Mar,Mar,3,Remove stumps; plough to 30cm depth
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Stem cutting procurement and curing,-2,-1,Mar,Mar,3,Select disease-free cuttings 25cm long; cure 3–5 days
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_PLANTING,Mound or ridge formation,-1,0,Mar,Apr,3,Form ridges 30cm high; spacing 1×1m
North Central,Cassava,4,Apr,2,Feb,0.917,PLANTING,Planting stem cuttings,0,0,Apr,Apr,4,"Plant at 45° angle, 2/3 buried; 10,000 cuttings/ha"
North Central,Cassava,4,Apr,2,Feb,0.917,EARLY_GROWTH,Gap filling,2,3,Apr,Apr,4,Replace failed cuttings before canopy closure
North Central,Cassava,4,Apr,2,Feb,0.917,EARLY_GROWTH,First weeding,4,6,May,May,5,Critical period: weed-free first 3 months
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,First fertilizer application,8,8,Jun,Jun,6,NPK 15:15:15 at 2 months; place 10cm from stem
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Pest scouting — whitefly and CMD,8,20,Jun,Sep,6,Scout fortnightly; rogue CMV-infected plants
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Second weeding,10,12,Jun,Jul,6,Before secondary canopy closure
North Central,Cassava,4,Apr,2,Feb,0.917,VEGETATIVE,Second fertilizer application,16,16,Aug,Aug,8,Potassium sulphate at 4 months for tuber bulking
North Central,Cassava,4,Apr,2,Feb,0.917,REPRODUCTIVE,Tuber bulking monitoring,24,36,Oct,Jan,10,Monitor canopy colour; yellowing = nutrient stress
North Central,Cassava,4,Apr,2,Feb,0.917,PRE_HARVEST,Maturity assessment,36,40,Jan,Feb,1,Check HCN content if bitter variety; test tuber size
North Central,Cassava,4,Apr,2,Feb,0.917,HARVEST,Harvesting,40,44,Feb,Mar,2,Mechanical or manual uprooting; avoid tuber damage
North Central,Cassava,4,Apr,2,Feb,0.917,POST_HARVEST,Processing or storage,44,48,Mar,Apr,3,Process within 24–48hrs (perishable); or wax-coat
North Central,Cassava,4,Apr,2,Feb,0.917,POST_HARVEST,Field ratoon or new land prep,44,52,Mar,May,3,For ratoon crop: cut stems to 50cm; fertilize
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PRE_PLANTING,Nursery pod selection and seeding,-12,-8,Jan,Feb,1,Select pods from high-yielding trees; sow in poly bags
North Central,Cocoa beans,4,Apr,12,Dec,0.917,PRE_PLANTING,Shade tree establishment,-8,-4,Feb,Mar,2,Plant plantain or Gliricidia as temporary shade
